country,sheet,first_year_proj,source_label,source_file
Afghanisatn_AFG,AFG_EBS.18.101_Ext_Debt_Data,2018,Input 1 - Basics!C18,"AFG_EBS.18.101, Sup. 1.xlsm"
Afghanisatn_AFG,AFG_EBS.19.116_Ext_Debt_Data,2019,Input 1 - Basics!C18,"AFG_EBS.19.116, Sup. 2.xlsm"
Afghanisatn_AFG,AFG_EBS.20.160_Ext_Debt_Data,2020,Input 1 - Basics!C18,"AFG_EBS.20.160, Sup. 1.xlsm"
Afghanisatn_AFG,AFG_EBS.20.74_Ext_Debt_Data,2020,Input 1 - Basics!C18,"AFG_EBS.20.74, Sup. 1.xlsm"
Afghanisatn_AFG,AFG_EBS.21.43_Ext_Debt_Data,2021,Input 1 - Basics!C18,"AFG_EBS.21.43, Sup. 1.xlsm"
Bangladesh_BGD,BGD_EBS.20.99_Ext_Debt_Data,2020,Input 1 - Basics!C18,"BGD_EBS.20.99, Sup. 1.xlsm"
Bangladesh_BGD,BGD_EBS.23.126_Ext_Debt_Data,2024,Input 1 - Basics!C18,"BGD_EBS.23.126, Sup. 2.xlsm"
Bangladesh_BGD,BGD_EBS.23.6_Ext_Debt_Data,2023,Input 1 - Basics!C18,"BGD_EBS.23.6, Sup. 2.xlsm"
Bangladesh_BGD,BGD_SM.18.108_Inp_Out_Debt,2018,Output - Submit!C9,"BGD_SM.18.108, Sup. 2.xlsm"
Bangladesh_BGD,BGD_SM.19.209_Ext_Debt_Data,2019,Input 1 - Basics!C18,"BGD_SM.19.209, Sup. 2.xlsm"
Bangladesh_BGD,BGD_SM.22.38_Ext_Debt_Data,2022,Input 1 - Basics!C18,"BGD_SM.22.38, Sup. 2.xlsm"
Benin_BEN,BEN_EBS.18.102_Ext_Debt_Data,2018,Input 1 - Basics!C18,"BEN_EBS.18.102, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.18.56_Inp_Out_Debt,2018,Output - Submit!C9,BEN_EBS.18.56.xlsm
Benin_BEN,BEN_EBS.19.103_Ext_Debt_Data,2019,Input 1 - Basics!C18,"BEN_EBS.19.103, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.19.47_Ext_Debt_Data,2019,Input 1 - Basics!C18,"BEN_EBS.19.47, Sup. 2.xlsm"
Benin_BEN,BEN_EBS.20.186_Ext_Debt_Data,2020,Input 1 - Basics!C18,"BEN_EBS.20.186, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.20.94_Ext_Debt_Data,2020,Input 1 - Basics!C18,"BEN_EBS.20.94, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.22.110_Ext_Debt_Data,2022,Input 1 - Basics!C18,"BEN_EBS.22.110, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.22.61_Ext_Debt_Data,2022,Input 1 - Basics!C18,"BEN_EBS.22.61, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.23.132_Ext_Debt_Data,2023,Input 1 - Basics!C18,"BEN_EBS.23.132, Sup. 1.xlsm"
Benin_BEN,BEN_EBS.23.48_Ext_Debt_Data,2023,Input 1 - Basics!C18,"BEN_EBS.23.48, Sup. 1.xlsm"
Bhutan_BTN,BTN_SM.18.213_Inp_Out_Debt,2018,Output - Submit!C9,"BTN_SM.18.213, Sup. 2.xlsm"
Bhutan_BTN,BTN_SM.22.88_Ext_Debt_Data,2022,Input 1 - Basics!C18,"BTN_SM.22.88, Sup. 2.xlsm"
Burkina Faso_BFA,BFA_EBS.18.11_Inp_Out_Debt,2017,Output - Submit!C9,"BFA_EBS.18.11, Sup. 1.xlsm"
Burkina Faso_BFA,BFA_EBS.18.125_Ext_Debt_Data,2018,Input 1 - Basics!C18,"BFA_EBS.18.125, Sup. 1.xlsm"
Burkina Faso_BFA,BFA_EBS.19.119_Ext_Debt_Data,2019,Input 1 - Basics!C18,"BFA_EBS.19.119, Sup. 1.xlsm"
Burkina Faso_BFA,BFA_EBS.20.163_Ext_Debt_Data,2020,Input 1 - Basics!C18,"BFA_EBS.20.163, Sup. 1.xlsm"
Burkina Faso_BFA,BFA_EBS.20.42_Ext_Debt_Data,2019,Input 1 - Basics!C18,BFA_EBS.20.42.xlsm
Burkina Faso_BFA,BFA_EBS.23.19_Ext_Debt_Data,2022,Input 1 - Basics!C18,"BFA_EBS.23.19, Sup. 1.xlsm"
Burkina Faso_BFA,BFA_EBS.23.96_Ext_Debt_Data,2023,Input 1 - Basics!C18,"BFA_EBS.23.96, Sup. 1.xlsm"
Burundi_BDI,BDI_EBS.21.92_Ext_Debt_Data,2021,Input 1 - Basics!C18,"BDI_EBS.21.92, Sup 1.xlsm"
Burundi_BDI,BDI_EBS.23.78_Ext_Debt_Data,2023,Input 1 - Basics!C18,"BDI_EBS.23.78, Sup. 1.xlsm"
Burundi_BDI,BDI_SM.22.170._Ext_Debt_Data,2022,Input 1 - Basics!C18,BDI_SM.22.170. Sup. 2.xlsm
Cabo Verde_CPV,CPV_EBS.19.68_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CPV_EBS.19.68, Sup. 1.xlsm"
Cabo Verde_CPV,CPV_EBS.20.152_Ext_Debt_Data,2020,Input 1 - Basics!C18,"CPV_EBS.20.152, Sup. 1.xlsm"
Cabo Verde_CPV,CPV_EBS.20.63_Ext_Debt_Data,2020,Input 1 - Basics!C18,"CPV_EBS.20.63, Sup. 1.xlsm"
Cabo Verde_CPV,CPV_EBS.22.42_Ext_Debt_Data,2022,Input 1 - Basics!C18,"CPV_EBS.22.42, Sup. 1.xlsm"
Cabo Verde_CPV,CPV_EBS.23.127_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CPV_EBS.23.127, Sup. 1.xlsm"
Cabo Verde_CPV,CPV_EBS.23.63_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CPV_EBS.23.63, Sup.1.xlsm"
Cabo Verde_CPV,CPV_SM.18.60_Inp_Out_Debt,2017,Output - Submit!C9,"CPV_SM.18.60, Sup. 1.xlsm"
Cambodia_KHM,KHM_SM.18.264_Ext_Debt_Data,2018,Input 1 - Basics!C18,"KHM_SM.18.264, Sup. 2.xlsm"
Cambodia_KHM,KHM_SM.19.263_Ext_Debt_Data,2019,Input 1 - Basics!C18,"KHM_SM.19.263, Sup. 1.xlsm"
Cambodia_KHM,KHM_SM.21.193_Ext_Debt_Data,2021,Input 1 - Basics!C18,"KHM_SM.21.193, Sup. 2.xlsm"
Cambodia_KHM,KHM_SM.22.253_Ext_Debt_Data,2022,Input 1 - Basics!C18,"KHM_SM.22.253, Sup. 2.xlsm"
Cambodia_KHM,KHM_SM.23.268_Ext_Debt_Data,2023,Input 1 - Basics!C18,"KHM_SM.23.268, Sup. 1.xlsm"
Cameroon_CMR,CMR_EBS.18.116_Ext_Debt_Data,2018,Input 1 - Basics!C18,"CMR_EBS.18.116, Sup. 1.XLSM"
Cameroon_CMR,CMR_EBS.18.64_Inp_Out_Debt,2018,Output - Submit!C9,"CMR_EBS.18.64, Sup. 2.xlsm"
Cameroon_CMR,CMR_EBS.20.1_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CMR_EBS.20.1, Sup. 1.xlsm"
